features	accuracy	lamda	sensitivity	classibias
[38]	0.428260869565	1.0	0.426086956522	0.458198220944
[1  3  8  15  19  31  43  48  49]	0.509782608696	1.0	0.423913043478	1.24063988893
[6  13  29  33  48]	0.5	1.0	0.371739130435	0.449240012142
[1  33  45]	0.542391304348	1.0	0.369565217391	0.292594539838
[8  18  20  21  28  42  57]	0.486956521739	1.0	0.398913043478	1.43563664192
[3  18  21  22  31  32  36  38  42  53  56]	0.513043478261	1.0	0.428260869565	1.89410126813
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.705434782609	1.0	0.377173913043	0.600985147838
[38]	0.377173913043	1.0	0.372826086957	0.403181382545
[6  13  29  33  48]	0.53152173913	1.0	0.376086956522	0.448766665955
[1  3  8  15  19  31  43  48  49]	0.466304347826	1.0	0.391304347826	1.13778434485
[1  33  45]	0.520652173913	1.0	0.329347826087	0.251467692339
[8  18  20  21  28  42  57]	0.473913043478	1.0	0.394565217391	1.43695896612
[3  18  21  22  31  32  36  38  42  53  56]	0.491304347826	1.0	0.388043478261	1.85924391868
[46]	0.484782608696	1.0	0.385869565217	0.301626601978
[1  19  33  35  40]	0.517391304348	1.0	0.380434782609	0.789950388314
[1  13  15  17  25  36  43  56  57]	0.563043478261	1.0	0.358695652174	1.02365643067
[23  42  47]	0.446739130435	1.0	0.382608695652	0.63529796828
[13  15  18  20  30  31  32  39  41  43  56]	0.551086956522	1.0	0.401086956522	1.19584024609
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.525	1.0	0.414130434783	1.67820917619
[38]	0.394565217391	1.0	0.386956521739	0.418488427364
[6  13  29  33  48]	0.530434782609	1.0	0.413043478261	0.48205318262
[1  3  8  15  19  31  43  48  49]	0.513043478261	1.0	0.396739130435	1.16623458849
[1  33  45]	0.523913043478	1.0	0.328260869565	0.260740539872
[3  18  21  22  31  32  36  38  42  53  56]	0.495652173913	1.0	0.413043478261	2.0594617268
[8  18  20  21  28  42  57]	0.458695652174	1.0	0.372826086957	1.41043544218
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.73152173913	1.0	0.394565217391	0.59031321086
[46]	0.485869565217	1.0	0.382608695652	0.297707250192
[23  42  47]	0.464130434783	1.0	0.395652173913	0.678124943781
[1  13  15  17  25  36  43  56  57]	0.6	1.0	0.396739130435	1.03508142493
[1  19  33  35  40]	0.490217391304	1.0	0.364130434783	0.755888947331
[16  22  24  29  41  49  54]	0.475	1.0	0.369565217391	0.775160149453
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.51847826087	1.0	0.39347826087	1.39484489015
[50]	0.467391304348	1.0	0.359782608696	0.289647371699
[16  28  57]	0.438043478261	1.0	0.407608695652	1.14089913242
[14  24  38  47  54]	0.419565217391	1.0	0.414130434783	0.765853592344
[2  13  17  23  29  37  49  52  53]	0.520652173913	1.0	0.405434782609	1.26708027697
[14  26  30  35  36  53  55]	0.554347826087	1.0	0.385869565217	1.31112378989
[7  13  15  21  22  23  33  40  46  47  49]	0.485869565217	1.0	0.391304347826	1.39956971555
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.670652173913	1.0	0.392391304348	0.885920519647
[38]	0.391304347826	1.0	0.385869565217	0.416299680779
[6  13  29  33  48]	0.558695652174	1.0	0.391304347826	0.459604307766
[1  3  8  15  19  31  43  48  49]	0.490217391304	1.0	0.404347826087	1.14495489822
[1  33  45]	0.527173913043	1.0	0.314130434783	0.228767806725
[8  18  20  21  28  42  57]	0.48152173913	1.0	0.40652173913	1.43957586061
[3  18  21  22  31  32  36  38  42  53  56]	0.495652173913	1.0	0.409782608696	1.85618250836
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.740217391304	1.0	0.376086956522	0.58351210256
[46]	0.486956521739	1.0	0.377173913043	0.293741113321
[1  19  33  35  40]	0.501086956522	1.0	0.386956521739	0.774372909962
[1  13  15  17  25  36  43  56  57]	0.584782608696	1.0	0.4	1.01231091389
[23  42  47]	0.436956521739	1.0	0.388043478261	0.638637810066
[16  22  24  29  41  49  54]	0.48152173913	1.0	0.389130434783	0.795014427748
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.503260869565	1.0	0.375	1.37332329885
[50]	0.488043478261	1.0	0.367391304348	0.305363071799
[14  24  38  47  54]	0.403260869565	1.0	0.390217391304	0.708374699279
[2  13  17  23  29  37  49  52  53]	0.523913043478	1.0	0.426086956522	1.33611936695
[16  28  57]	0.435869565217	1.0	0.383695652174	1.03875437611
[14  26  30  35  36  53  55]	0.535869565217	1.0	0.389130434783	1.32475243651
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.7	1.0	0.379347826087	0.891589397388
[7  13  15  21  22  23  33  40  46  47  49]	0.498913043478	1.0	0.396739130435	1.36488592629
[44]	0.454347826087	1.0	0.408695652174	0.374450931079
[4  25  32  35  56]	0.598913043478	1.0	0.398913043478	0.880559063996
[8  21  26  30  33  35  37  50  55]	0.541304347826	1.0	0.379347826087	1.54696878091
[31  42  55]	0.485869565217	1.0	0.383695652174	1.90357218843
[6  9  11  19  27  34  38]	0.539130434783	1.0	0.38152173913	1.05126839173
