features	accuracy	lamda	sensitivity	classibias
[38]	0.610869565217	0.7	0.0	-0.207545343352
[3  18  21  22  31  32  36  38  42  53  56]	0.775	0.7	0.222826086957	-0.587088151214
[6  13  29  33  48]	0.672826086957	0.7	0.102173913043	-0.27337136071
[8  18  20  21  28  42  57]	0.757608695652	0.7	0.228260869565	-0.565395037649
[1  33  45]	0.614130434783	0.7	0.0402173913043	-0.193838757165
[1  3  8  15  19  31  43  48  49]	0.716304347826	0.7	0.164130434783	-0.519366995056
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.748913043478	0.7	0.20652173913	-0.336572079866
[6  13  29  33  48]	0.689130434783	0.5	0.116304347826	-0.264902733548
[1  3  8  15  19  31  43  48  49]	0.709782608696	0.5	0.171739130435	-0.532286515854
[38]	0.625	0.5	0.0	-0.200543507501
[1  33  45]	0.597826086957	0.5	0.0358695652174	-0.202333739507
[3  18  21  22  31  32  36  38  42  53  56]	0.76847826087	0.5	0.24347826087	-0.583603053898
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.783695652174	0.5	0.228260869565	-0.310846136786
[8  18  20  21  28  42  57]	0.771739130435	0.5	0.205434782609	-0.548147305624
[6  13  29  33  48]	0.669565217391	0.7	0.114130434783	-0.269798625993
[1  3  8  15  19  31  43  48  49]	0.703260869565	0.7	0.177173913043	-0.526838332885
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.75	0.7	0.194565217391	-0.329458858808
[3  18  21  22  31  32  36  38  42  53  56]	0.771739130435	0.7	0.230434782609	-0.580382259338
[8  18  20  21  28  42  57]	0.757608695652	0.7	0.204347826087	-0.564902799529
[38]	0.613043478261	0.7	0.0	-0.206331896065
[1  33  45]	0.654347826087	0.7	0.0478260869565	-0.180145400543
[6  13  29  33  48]	0.677173913043	0.5	0.103260869565	-0.269989983115
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.775	0.5	0.202173913043	-0.321182852413
[1  3  8  15  19  31  43  48  49]	0.698913043478	0.5	0.197826086957	-0.550021194086
[3  18  21  22  31  32  36  38  42  53  56]	0.779347826087	0.5	0.228260869565	-0.57577874859
[8  18  20  21  28  42  57]	0.754347826087	0.5	0.213043478261	-0.564200173757
[38]	0.620652173913	0.5	0.0	-0.202447124761
[1  33  45]	0.632608695652	0.5	0.0326086956522	-0.183512622055
[1  19  33  35  40]	0.65	0.7	0.15	-0.416541951607
[1  13  15  17  25  36  43  56  57]	0.720652173913	0.7	0.159782608696	-0.362500933372
[16  22  24  29  41  49  54]	0.7	0.7	0.115217391304	-0.320188231965
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.783695652174	0.7	0.195652173913	-0.432342961549
[46]	0.595652173913	0.7	0.0	-0.190478208295
[13  15  18  20  30  31  32  39  41  43  56]	0.708695652174	0.7	0.146739130435	-0.345201703164
[23  42  47]	0.696739130435	0.7	0.1	-0.286090952567
[1  19  33  35  40]	0.655434782609	0.5	0.141304347826	-0.421970290686
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.771739130435	0.5	0.203260869565	-0.431701305219
[1  13  15  17  25  36  43  56  57]	0.708695652174	0.5	0.136956521739	-0.365037387137
[16  22  24  29  41  49  54]	0.728260869565	0.5	0.125	-0.290564954812
[46]	0.605434782609	0.5	0.0	-0.182823014565
[13  15  18  20  30  31  32  39  41  43  56]	0.701086956522	0.5	0.134782608696	-0.310421733156
[23  42  47]	0.708695652174	0.5	0.119565217391	-0.285704690176
[6  13  29  33  48]	0.655434782609	0.7	0.115217391304	-0.285499697615
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.759782608696	0.7	0.211956521739	-0.314189116082
[3  18  21  22  31  32  36  38  42  53  56]	0.788043478261	0.7	0.233695652174	-0.575668192101
[38]	0.601086956522	0.7	0.0	-0.212547844652
[1  3  8  15  19  31  43  48  49]	0.726086956522	0.7	0.189130434783	-0.530395434295
[8  18  20  21  28  42  57]	0.753260869565	0.7	0.204347826087	-0.563343703433
[1  33  45]	0.628260869565	0.7	0.0336956521739	-0.185911225743
[6  13  29  33  48]	0.66847826087	0.5	0.110869565217	-0.275739618726
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.757608695652	0.5	0.205434782609	-0.321396373104
[3  18  21  22  31  32  36  38  42  53  56]	0.772826086957	0.5	0.225	-0.590858156003
[38]	0.589130434783	0.5	0.0	-0.218590418907
[1  3  8  15  19  31  43  48  49]	0.7	0.5	0.184782608696	-0.5610744109
[8  18  20  21  28  42  57]	0.75652173913	0.5	0.205434782609	-0.565655971695
[1  33  45]	0.6	0.5	0.0271739130435	-0.202753829357
[1  19  33  35  40]	0.669565217391	0.7	0.125	-0.415666693108
