features	accuracy	lamda	sensitivity	classibias
[6  13  29  33  48]	0.696739130435	0.7	0.140217391304	-0.225118919768
[1  3  8  15  19  31  43  48  49]	0.738043478261	0.7	0.198913043478	-0.513942102549
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.836956521739	0.7	0.276086956522	-0.226193649693
[38]	0.602173913043	0.7	0.0	-0.211522327908
[1  33  45]	0.630434782609	0.7	0.0445652173913	-0.136982136587
[8  18  20  21  28  42  57]	0.778260869565	0.7	0.210869565217	-0.585584130997
[3  18  21  22  31  32  36  38  42  53  56]	0.827173913043	0.7	0.279347826087	-0.693347771216
[6  13  29  33  48]	0.696739130435	0.5	0.133695652174	-0.210160158556
[1  3  8  15  19  31  43  48  49]	0.722826086957	0.5	0.201086956522	-0.52887116545
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.825	0.5	0.279347826087	-0.243429432672
[3  18  21  22  31  32  36  38  42  53  56]	0.826086956522	0.5	0.266304347826	-0.747226155998
[38]	0.596739130435	0.5	0.0	-0.213875763292
[1  33  45]	0.633695652174	0.5	0.054347826087	-0.139543244814
[8  18  20  21  28  42  57]	0.779347826087	0.5	0.24347826087	-0.607461212179
[6  13  29  33  48]	0.707608695652	0.7	0.130434782609	-0.192985697349
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.844565217391	0.7	0.26847826087	-0.230802124818
[1  3  8  15  19  31  43  48  49]	0.708695652174	0.7	0.178260869565	-0.524686284193
[3  18  21  22  31  32  36  38  42  53  56]	0.813043478261	0.7	0.265217391304	-0.732621486737
[8  18  20  21  28  42  57]	0.777173913043	0.7	0.227173913043	-0.573670828779
[1  33  45]	0.616304347826	0.7	0.0586956521739	-0.148868214649
[38]	0.597826086957	0.7	0.0	-0.213339013007
[6  13  29  33  48]	0.697826086957	0.5	0.133695652174	-0.209769942076
[1  3  8  15  19  31  43  48  49]	0.69347826087	0.5	0.182608695652	-0.545422633752
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.847826086957	0.5	0.283695652174	-0.228446964636
[38]	0.60652173913	0.5	0.0	-0.208633227362
[8  18  20  21  28  42  57]	0.782608695652	0.5	0.23152173913	-0.587973568191
[1  33  45]	0.642391304348	0.5	0.0586956521739	-0.14502214942
[3  18  21  22  31  32  36  38  42  53  56]	0.820652173913	0.5	0.254347826087	-0.7456298439
[1  19  33  35  40]	0.652173913043	0.7	0.144565217391	-0.389354459324
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.796739130435	0.7	0.239130434783	-0.663392732325
[46]	0.583695652174	0.7	0.0	-0.164466291183
[16  22  24  29  41  49  54]	0.730434782609	0.7	0.157608695652	-0.284247945605
[1  13  15  17  25  36  43  56  57]	0.794565217391	0.7	0.220652173913	-0.464008516926
[13  15  18  20  30  31  32  39  41  43  56]	0.769565217391	0.7	0.209782608696	-0.444639326112
[23  42  47]	0.694565217391	0.7	0.132608695652	-0.332516881505
[1  19  33  35  40]	0.683695652174	0.5	0.144565217391	-0.364174158762
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.819565217391	0.5	0.247826086957	-0.490997157705
[46]	0.596739130435	0.5	0.0	-0.153037427372
[13  15  18  20  30  31  32  39  41  43  56]	0.738043478261	0.5	0.165217391304	-0.444648805845
[16  22  24  29  41  49  54]	0.755434782609	0.5	0.191304347826	-0.271628022685
[1  13  15  17  25  36  43  56  57]	0.790217391304	0.5	0.228260869565	-0.397230936559
[23  42  47]	0.721739130435	0.5	0.130434782609	-0.30999028807
[6  13  29  33  48]	0.701086956522	0.7	0.132608695652	-0.193640300515
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.822826086957	0.7	0.266304347826	-0.263201111752
[1  3  8  15  19  31  43  48  49]	0.70652173913	0.7	0.192391304348	-0.537988879769
[38]	0.585869565217	0.7	0.0	-0.21926352657
[3  18  21  22  31  32  36  38  42  53  56]	0.823913043478	0.7	0.259782608696	-0.694302498623
[8  18  20  21  28  42  57]	0.772826086957	0.7	0.238043478261	-0.598607052712
[1  33  45]	0.625	0.7	0.0554347826087	-0.146330777982
[6  13  29  33  48]	0.679347826087	0.5	0.122826086957	-0.212844874006
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.839130434783	0.5	0.278260869565	-0.227725277242
[38]	0.594565217391	0.5	0.0	-0.215264517812
[3  18  21  22  31  32  36  38  42  53  56]	0.825	0.5	0.244565217391	-0.688525920139
[1  3  8  15  19  31  43  48  49]	0.719565217391	0.5	0.192391304348	-0.524578480209
[8  18  20  21  28  42  57]	0.758695652174	0.5	0.203260869565	-0.581940295789
[1  33  45]	0.628260869565	0.5	0.0565217391304	-0.139002733158
[1  19  33  35  40]	0.670652173913	0.7	0.15652173913	-0.366686045047
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.810869565217	0.7	0.223913043478	-0.502065437034
[1  13  15  17  25  36  43  56  57]	0.80652173913	0.7	0.226086956522	-0.399785431247
[46]	0.617391304348	0.7	0.0	-0.150091677977
[13  15  18  20  30  31  32  39  41  43  56]	0.755434782609	0.7	0.197826086957	-0.441326420214
[16  22  24  29  41  49  54]	0.74347826087	0.7	0.18152173913	-0.299858882471
[23  42  47]	0.717391304348	0.7	0.101086956522	-0.304759686079
[1  19  33  35  40]	0.678260869565	0.5	0.146739130435	-0.358263084998
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.81847826087	0.5	0.242391304348	-0.491844064713
[1  13  15  17  25  36  43  56  57]	0.8	0.5	0.222826086957	-0.392442954088
[46]	0.632608695652	0.5	0.0	-0.139090072882
[16  22  24  29  41  49  54]	0.752173913043	0.5	0.172826086957	-0.271619595977
[13  15  18  20  30  31  32  39  41  43  56]	0.769565217391	0.5	0.215217391304	-0.445517635879
[23  42  47]	0.71847826087	0.5	0.117391304348	-0.309346798826
[14  24  38  47  54]	0.7	0.7	0.105434782609	-0.308181044966
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.853260869565	0.7	0.267391304348	-0.345343152776
[50]	0.630434782609	0.7	0.0	-0.145254769082
[2  13  17  23  29  37  49  52  53]	0.80652173913	0.7	0.236956521739	-0.475510815809
[16  28  57]	0.739130434783	0.7	0.146739130435	-0.399780653287
[14  26  30  35  36  53  55]	0.802173913043	0.7	0.21847826087	-0.586281259736
[7  13  15  21  22  23  33  40  46  47  49]	0.827173913043	0.7	0.263043478261	-0.582164562944
[14  24  38  47  54]	0.702173913043	0.5	0.0782608695652	-0.276510341078
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.858695652174	0.5	0.272826086957	-0.370504275474
[2  13  17  23  29  37  49  52  53]	0.820652173913	0.5	0.246739130435	-0.499107917643
