0	[38]	logistic	1.0	0.428260869565	0.426086956522	0.458198220944	-0.567978619993	
3080	[1, 3, 8, 15, 19, 31, 43, 48, 49]	logistic	1.0	0.509782608696	0.423913043478	1.24063988893	[[ 0.55213422]   [ 0.53303543]   [ 1.67390086]   [ 3.45961229]   [ 0.3006237 ]   [-5.12239584]   [-4.01403589]   [-3.81573525]   [-0.59012074]]	
1540	[6, 13, 29, 33, 48]	logistic	1.0	0.5	0.371739130435	0.449240012142	[[ 2.18991974]   [ 1.04571784]   [-9.68169256]   [-1.98742175]   [-4.26030809]]	
770	[1, 33, 45]	logistic	1.0	0.542391304348	0.369565217391	0.292594539838	[[ 0.74392945]   [-2.00101195]   [-0.77575787]]	
2310	[8, 18, 20, 21, 28, 42, 57]	logistic	1.0	0.486956521739	0.398913043478	1.43563664192	[[  1.01454003e+00]   [  7.36582442e-01]   [  1.96495038e+00]   [  6.73312669e-01]   [ -1.36321901e+00]   [ -4.83628726e+00]   [  1.16718890e-03]]	
3850	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	logistic	1.0	0.513043478261	0.428260869565	1.89410126813	[[ 0.39786601]   [ 0.54019687]   [ 0.45191222]   [ 0.16307293]   [-6.54807121]   [-4.93966128]   [-0.22875197]   [-0.46111014]   [-3.3790688 ]   [ 8.69495038]   [ 0.01774187]]	
4620	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	logistic	1.0	0.705434782609	0.377173913043	0.600985147838	[[  0.46097747]   [  0.777027  ]   [  1.6416359 ]   [  2.82817766]   [  1.86660792]   [ -2.74635175]   [ -6.84000611]   [-26.80793228]   [ -2.22976788]   [ -2.34928141]   [ -3.80542517]   [ -0.96048453]   [  4.21571652]]	
1	[38]	ridge	1.0	0.623913043478	0.0	-0.200822033891	-0.14227449205	
3081	[1, 3, 8, 15, 19, 31, 43, 48, 49]	ridge	1.0	0.716304347826	0.185869565217	-0.525237155314	[[ 0.26536431]   [ 0.28059617]   [ 0.4031689 ]   [ 0.62147144]   [ 0.10678209]   [-0.19083692]   [-0.52990765]   [-0.21785548]   [-0.14227207]]	
1541	[6, 13, 29, 33, 48]	ridge	1.0	0.698913043478	0.0967391304348	-0.241174173403	[[ 0.73885666]   [ 0.32069797]   [-0.20247429]   [-0.25162289]   [-0.30485783]]	
771	[1, 33, 45]	ridge	1.0	0.622826086957	0.0445652173913	-0.19418532784	[[ 0.37642507]   [-0.19721408]   [-0.12289504]]	
2311	[8, 18, 20, 21, 28, 42, 57]	ridge	1.0	0.751086956522	0.188043478261	-0.546351164122	[[ 0.2909769 ]   [ 0.26581793]   [ 0.2834868 ]   [ 0.22656733]   [-0.20270526]   [-0.1229347 ]   [ 0.00032155]]	
