0	[38]	ridge	0.7	0.610869565217	0.0	-0.207545343352	-0.130111750744	
2200	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	ridge	0.7	0.775	0.222826086957	-0.587088151214	[[  1.97487680e-01]   [  2.35014890e-01]   [  2.41497191e-01]   [  1.03954197e-01]   [ -1.35041193e-01]   [  1.59415762e-02]   [ -1.21687599e-01]   [ -3.38383410e-02]   [ -1.09637918e-01]   [  9.57362930e-01]   [  4.99845176e-04]]	
880	[6, 13, 29, 33, 48]	ridge	0.7	0.672826086957	0.102173913043	-0.27337136071	[[ 0.83637732]   [ 0.34902193]   [-0.18869156]   [-0.22182658]   [-0.23422484]]	
1320	[8, 18, 20, 21, 28, 42, 57]	ridge	0.7	0.757608695652	0.228260869565	-0.565395037649	[[ 0.25079474]   [ 0.27976484]   [ 0.26338609]   [ 0.23987737]   [-0.24016897]   [-0.10609827]   [ 0.00034172]]	
440	[1, 33, 45]	ridge	0.7	0.614130434783	0.0402173913043	-0.193838757165	[[ 0.39360198]   [-0.25260672]   [-0.12004458]]	
1760	[1, 3, 8, 15, 19, 31, 43, 48, 49]	ridge	0.7	0.716304347826	0.164130434783	-0.519366995056	[[ 0.32102578]   [ 0.25683145]   [ 0.45945017]   [ 0.62504316]   [ 0.11434151]   [-0.26576778]   [-0.48848401]   [-0.20866221]   [-0.15992166]]	
2640	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	ridge	0.7	0.748913043478	0.20652173913	-0.336572079866	[[ 0.25734142]   [ 0.22885904]   [ 0.37668797]   [ 0.5927567 ]   [ 0.33090589]   [-0.11133637]   [-0.03846973]   [-0.17452743]   [-0.3914227 ]   [-0.43157985]   [-0.23692221]   [-0.15002813]   [ 0.13537892]]	
881	[6, 13, 29, 33, 48]	ridge	0.5	0.689130434783	0.116304347826	-0.264902733548	[[ 0.71641665]   [ 0.39532732]   [-0.19097746]   [-0.18155916]   [-0.30044979]]	
1761	[1, 3, 8, 15, 19, 31, 43, 48, 49]	ridge	0.5	0.709782608696	0.171739130435	-0.532286515854	[[ 0.28090416]   [ 0.24827246]   [ 0.41611435]   [ 0.57978232]   [ 0.12229875]   [-0.19193478]   [-0.513189  ]   [-0.21634735]   [-0.12120897]]	
1	[38]	ridge	0.5	0.625	0.0	-0.200543507501	-0.137642842341	
441	[1, 33, 45]	ridge	0.5	0.597826086957	0.0358695652174	-0.202333739507	[[ 0.39639882]   [-0.19210968]   [-0.12579209]]	
